epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1716.49,1.38171,0.96865,1.31019,0.90108,0.86382,0.90601,0.5753,1.44618,0.94785,1.46758,0.00145517,0.00145517,0.00145517
43,1753.96,1.44413,0.97409,1.35452,0.88052,0.88942,0.8982,0.56721,1.4147,0.91988,1.46859,0.00144188,0.00144188,0.00144188
44,1790.23,1.38184,0.92613,1.32999,0.91482,0.86207,0.90469,0.56116,1.44162,1.00138,1.45425,0.00142859,0.00142859,0.00142859
45,1827.31,1.38322,0.91502,1.32579,0.96219,0.87757,0.92415,0.59493,1.26645,0.82997,1.35938,0.0014153,0.0014153,0.0014153
46,1864.53,1.4175,0.96523,1.3602,0.95908,0.87069,0.91917,0.5913,1.29228,0.76501,1.42049,0.00140201,0.00140201,0.00140201
47,1899.26,1.46886,0.95329,1.33979,0.94324,0.86207,0.91445,0.58098,1.33075,0.76703,1.45129,0.00138872,0.00138872,0.00138872
48,1933.93,1.42589,0.94269,1.33386,0.94327,0.86009,0.92656,0.57227,1.32059,0.7739,1.44175,0.00137544,0.00137544,0.00137544
49,1968.55,1.49271,0.9877,1.3549,0.93926,0.87069,0.92212,0.60397,1.40109,0.79962,1.50363,0.00136215,0.00136215,0.00136215
50,2003.45,1.38743,0.90258,1.30168,0.92259,0.87069,0.92019,0.59215,1.31076,0.76454,1.467,0.00134886,0.00134886,0.00134886
51,2038.61,1.38639,0.93389,1.32262,0.93769,0.87931,0.93947,0.59513,1.30239,0.73231,1.43254,0.00133557,0.00133557,0.00133557
52,2076.15,1.35672,0.86462,1.2841,0.97138,0.87779,0.94381,0.61848,1.33311,0.75432,1.40558,0.00132228,0.00132228,0.00132228
53,2112.4,1.34426,0.86437,1.25253,0.93651,0.87931,0.91957,0.59442,1.34219,0.76681,1.42568,0.00130899,0.00130899,0.00130899
54,2151.99,1.41434,0.93597,1.34553,0.97543,0.90517,0.95261,0.62953,1.23133,0.7087,1.37934,0.0012957,0.0012957,0.0012957
55,2189.8,1.39158,0.90637,1.32328,0.98174,0.9271,0.95672,0.62491,1.29911,0.70826,1.39345,0.00128242,0.00128242,0.00128242
56,2229.65,1.36681,0.89096,1.31686,0.99912,0.89655,0.95505,0.63433,1.22874,0.66555,1.37982,0.00126913,0.00126913,0.00126913
57,2272.83,1.34471,0.86233,1.27373,0.9785,0.89655,0.95709,0.64898,1.17479,0.6699,1.35161,0.00125584,0.00125584,0.00125584
58,2315.97,1.3541,0.88615,1.28534,0.98072,0.87719,0.92572,0.60586,1.21734,0.73447,1.34743,0.00124255,0.00124255,0.00124255
59,2359.74,1.37374,0.85777,1.31187,0.98217,0.90517,0.95469,0.62918,1.15653,0.73018,1.30035,0.00122926,0.00122926,0.00122926
60,2403.16,1.37796,0.85787,1.28622,0.96312,0.90059,0.95349,0.6279,1.17328,0.7162,1.31212,0.00121597,0.00121597,0.00121597
61,2447.41,1.37956,0.86537,1.31843,0.92571,0.87069,0.92901,0.61439,1.29782,0.71312,1.39118,0.00120268,0.00120268,0.00120268
62,2491.69,1.36418,0.90631,1.30514,0.98329,0.88793,0.95476,0.65003,1.19988,0.67027,1.33859,0.0011894,0.0011894,0.0011894
63,2535.76,1.3183,0.84721,1.31025,0.96306,0.90517,0.9565,0.65124,1.15559,0.68882,1.32119,0.00117611,0.00117611,0.00117611
64,2579.58,1.30198,0.81071,1.24276,0.93342,0.87931,0.92384,0.64107,1.20517,0.70299,1.3412,0.00116282,0.00116282,0.00116282
65,2623.06,1.30756,0.83299,1.27205,0.95387,0.89655,0.93366,0.65134,1.20576,0.70681,1.30098,0.00114953,0.00114953,0.00114953
66,2667.07,1.32072,0.8458,1.2726,0.97271,0.89655,0.95597,0.66009,1.19896,0.66587,1.27233,0.00113624,0.00113624,0.00113624
67,2714.44,1.36174,0.82421,1.26814,0.94634,0.91226,0.95278,0.66375,1.16115,0.68744,1.26135,0.00112295,0.00112295,0.00112295
68,2764.04,1.26823,0.83603,1.26485,0.96358,0.91235,0.94762,0.63595,1.22667,0.67289,1.35789,0.00110966,0.00110966,0.00110966
69,2802.21,1.25735,0.80649,1.26253,0.97059,0.91379,0.95769,0.68362,1.10407,0.61744,1.28594,0.00109638,0.00109638,0.00109638
70,2841.17,1.30168,0.80398,1.24135,0.9758,0.91379,0.96122,0.67566,1.11224,0.59724,1.32867,0.00108309,0.00108309,0.00108309
71,2876.22,1.27466,0.78632,1.23564,0.95592,0.93485,0.96125,0.67728,1.1358,0.59575,1.33655,0.0010698,0.0010698,0.0010698
72,2917.8,1.28454,0.79238,1.24484,0.9985,0.90517,0.96398,0.67443,1.11523,0.59845,1.30663,0.00105651,0.00105651,0.00105651
