epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7572,1.81368,2.49703,1.49658,0.94781,0.31316,0.66198,0.33103,1.4651,2.6874,1.45317,0.000648649,0.000648649,0.000648649
2,69.9201,1.66038,1.71217,1.4037,0.84121,0.54805,0.68242,0.36392,1.50642,2.24986,1.50885,0.00130658,0.00130658,0.00130658
3,104.142,1.71,1.75574,1.50649,0.68203,0.56897,0.5856,0.32122,1.61643,2.43212,1.55773,0.00195564,0.00195564,0.00195564
4,138.145,1.76568,1.72038,1.50191,0.66817,0.52586,0.65232,0.35257,1.72246,4.29011,1.70445,0.00196013,0.00196013,0.00196013
5,171.887,1.6831,1.75894,1.52488,0.62782,0.65517,0.61168,0.32381,1.59262,3.07222,1.67969,0.00194685,0.00194685,0.00194685
6,205.166,1.75087,1.64957,1.52848,0.80989,0.62436,0.69836,0.3947,2.23894,2.21022,2.64431,0.00193356,0.00193356,0.00193356
7,238.724,1.71451,1.58447,1.48316,0.66638,0.58547,0.63077,0.34754,1.7839,2.26911,1.85443,0.00192027,0.00192027,0.00192027
8,272.606,1.69735,1.49626,1.51057,0.90712,0.7578,0.8243,0.4303,1.63813,1.55941,1.8566,0.00190698,0.00190698,0.00190698
9,306.234,1.73326,1.5577,1.53549,0.8691,0.80172,0.85006,0.46073,1.57593,1.44564,1.76007,0.00189369,0.00189369,0.00189369
10,339.607,1.68465,1.47031,1.51763,0.90961,0.82759,0.85959,0.47979,1.54009,1.54649,1.71593,0.0018804,0.0018804,0.0018804
11,373.006,1.68471,1.4034,1.47948,0.84847,0.67583,0.75819,0.39379,1.63036,2.09642,1.69126,0.00186711,0.00186711,0.00186711
12,406.308,1.64721,1.45303,1.45766,0.93029,0.80533,0.85947,0.48789,1.47749,1.32932,1.5578,0.00185383,0.00185383,0.00185383
13,439.457,1.70642,1.36955,1.48507,0.80869,0.85345,0.82427,0.47535,1.50092,1.53558,1.54219,0.00184054,0.00184054,0.00184054
14,472.848,1.64716,1.24871,1.4132,0.90068,0.86207,0.88231,0.52856,1.40033,1.35855,1.46693,0.00182725,0.00182725,0.00182725
15,505.886,1.68202,1.53663,1.53687,0.85957,0.79152,0.82469,0.47821,1.50733,1.48451,1.55565,0.00181396,0.00181396,0.00181396
16,538.914,1.61571,1.3363,1.43625,0.87903,0.82759,0.8518,0.49375,1.54715,1.50617,1.58709,0.00180067,0.00180067,0.00180067
17,572.128,1.6543,1.3473,1.48067,0.90038,0.86207,0.87178,0.5104,1.50536,1.44808,1.53734,0.00178738,0.00178738,0.00178738
18,605.801,1.5932,1.26496,1.42188,0.91273,0.7931,0.86524,0.50011,1.45438,1.31337,1.58126,0.00177409,0.00177409,0.00177409
19,638.791,1.6543,1.30264,1.5011,0.91265,0.90068,0.89669,0.52931,1.38812,1.12782,1.51265,0.00176081,0.00176081,0.00176081
20,671.955,1.67656,1.34703,1.50089,0.95483,0.86207,0.87505,0.52567,1.40311,1.12504,1.48964,0.00174752,0.00174752,0.00174752
21,705.071,1.59725,1.30466,1.43969,0.92404,0.83901,0.87052,0.52848,1.3991,1.06325,1.46357,0.00173423,0.00173423,0.00173423
22,738.01,1.59956,1.22432,1.41164,0.95858,0.79804,0.84991,0.48616,1.52535,1.09278,1.5518,0.00172094,0.00172094,0.00172094
23,770.775,1.52924,1.17604,1.38921,0.90649,0.82759,0.85126,0.50681,1.48951,1.10322,1.58944,0.00170765,0.00170765,0.00170765
24,804.001,1.50061,1.16101,1.36292,0.87667,0.85345,0.87082,0.52348,1.45837,1.10003,1.58955,0.00169436,0.00169436,0.00169436
25,836.568,1.53614,1.22752,1.40441,0.8399,0.85932,0.86334,0.5002,1.4573,1.03016,1.56461,0.00168107,0.00168107,0.00168107
26,869.453,1.51885,1.22576,1.43106,0.89597,0.82759,0.85445,0.51307,1.50121,1.24871,1.61813,0.00166779,0.00166779,0.00166779
27,902.26,1.57059,1.19782,1.42663,0.92933,0.83621,0.89109,0.54041,1.48169,1.12021,1.54843,0.0016545,0.0016545,0.0016545
28,935.215,1.52102,1.17976,1.37986,0.92152,0.83621,0.89237,0.50473,1.43357,1.12278,1.48749,0.00164121,0.00164121,0.00164121
29,968.184,1.53318,1.11069,1.3682,0.94952,0.86207,0.87518,0.52407,1.46129,1.0213,1.45699,0.00162792,0.00162792,0.00162792
30,1001.14,1.58476,1.19172,1.42192,0.93779,0.83621,0.87819,0.53002,1.42066,0.95824,1.46541,0.00161463,0.00161463,0.00161463
31,1034.2,1.57074,1.12981,1.41436,0.93254,0.83423,0.88229,0.53859,1.43767,0.95114,1.47966,0.00160134,0.00160134,0.00160134
32,1067.13,1.50958,1.06609,1.36082,0.91929,0.87931,0.92166,0.54068,1.55174,1.05255,1.55632,0.00158805,0.00158805,0.00158805
33,1100.11,1.52166,1.08751,1.36965,0.96172,0.86642,0.89907,0.5619,1.43533,0.99585,1.50432,0.00157477,0.00157477,0.00157477
34,1132.94,1.46377,1.04652,1.35143,0.94337,0.86166,0.88676,0.55703,1.41192,0.90265,1.4754,0.00156148,0.00156148,0.00156148
35,1165.83,1.48014,1.00905,1.35333,0.95797,0.82759,0.8877,0.55185,1.38908,0.93488,1.46344,0.00154819,0.00154819,0.00154819
36,1198.99,1.43641,1.02172,1.32885,0.91752,0.85345,0.89312,0.55163,1.3981,0.85212,1.48293,0.0015349,0.0015349,0.0015349
37,1231.91,1.50964,1.02606,1.35405,0.94626,0.84483,0.90214,0.54947,1.46276,0.81064,1.4776,0.00152161,0.00152161,0.00152161
38,1264.83,1.50423,1.0377,1.4139,0.9013,0.86597,0.90524,0.56487,1.37727,0.85646,1.43474,0.00150832,0.00150832,0.00150832
39,1298.06,1.46434,1.01074,1.3667,0.96827,0.86207,0.92442,0.57256,1.32861,0.86498,1.4311,0.00149503,0.00149503,0.00149503
40,1330.93,1.49017,0.98529,1.3532,0.97488,0.87069,0.91277,0.55904,1.35335,0.85412,1.42501,0.00148174,0.00148174,0.00148174
41,1370.13,1.46952,0.99098,1.36426,0.96155,0.8623,0.90713,0.55214,1.43933,0.89902,1.46159,0.00146846,0.00146846,0.00146846
42,1408.53,1.38171,0.96865,1.31019,0.90108,0.86382,0.90601,0.5753,1.44618,0.94785,1.46758,0.00145517,0.00145517,0.00145517
43,1444.96,1.44413,0.97409,1.35452,0.88052,0.88942,0.8982,0.56721,1.4147,0.91988,1.46859,0.00144188,0.00144188,0.00144188
44,1481.06,1.38184,0.92613,1.32999,0.91482,0.86207,0.90469,0.56116,1.44162,1.00138,1.45425,0.00142859,0.00142859,0.00142859
45,1516.85,1.38322,0.91502,1.32579,0.96219,0.87757,0.92415,0.59493,1.26645,0.82997,1.35938,0.0014153,0.0014153,0.0014153
46,1551.3,1.4175,0.96523,1.3602,0.95908,0.87069,0.91917,0.5913,1.29228,0.76501,1.42049,0.00140201,0.00140201,0.00140201
47,1587.76,1.46886,0.95329,1.33979,0.94324,0.86207,0.91445,0.58098,1.33075,0.76703,1.45129,0.00138872,0.00138872,0.00138872
48,1623.65,1.42589,0.94269,1.33386,0.94327,0.86009,0.92656,0.57227,1.32059,0.7739,1.44175,0.00137544,0.00137544,0.00137544
49,1659.01,1.49271,0.9877,1.3549,0.93926,0.87069,0.92212,0.60397,1.40109,0.79962,1.50363,0.00136215,0.00136215,0.00136215
50,1694.86,1.38743,0.90258,1.30168,0.92259,0.87069,0.92019,0.59215,1.31076,0.76454,1.467,0.00134886,0.00134886,0.00134886
51,1729,1.38639,0.93389,1.32262,0.93769,0.87931,0.93947,0.59513,1.30239,0.73231,1.43254,0.00133557,0.00133557,0.00133557
52,1762.95,1.35672,0.86462,1.2841,0.97138,0.87779,0.94381,0.61848,1.33311,0.75432,1.40558,0.00132228,0.00132228,0.00132228
53,1796.75,1.34426,0.86437,1.25253,0.93651,0.87931,0.91957,0.59442,1.34219,0.76681,1.42568,0.00130899,0.00130899,0.00130899
54,1830.6,1.41434,0.93597,1.34553,0.97543,0.90517,0.95261,0.62953,1.23133,0.7087,1.37934,0.0012957,0.0012957,0.0012957
55,1864.49,1.39158,0.90637,1.32328,0.98174,0.9271,0.95672,0.62491,1.29911,0.70826,1.39345,0.00128242,0.00128242,0.00128242
56,1898.18,1.36681,0.89096,1.31686,0.99912,0.89655,0.95505,0.63433,1.22874,0.66555,1.37982,0.00126913,0.00126913,0.00126913
57,1931.87,1.34471,0.86233,1.27373,0.9785,0.89655,0.95709,0.64898,1.17479,0.6699,1.35161,0.00125584,0.00125584,0.00125584
58,1965.49,1.3541,0.88615,1.28534,0.98072,0.87719,0.92572,0.60586,1.21734,0.73447,1.34743,0.00124255,0.00124255,0.00124255
59,1999.54,1.37374,0.85777,1.31187,0.98217,0.90517,0.95469,0.62918,1.15653,0.73018,1.30035,0.00122926,0.00122926,0.00122926
60,2033.38,1.37796,0.85787,1.28622,0.96312,0.90059,0.95349,0.6279,1.17328,0.7162,1.31212,0.00121597,0.00121597,0.00121597
61,2067.03,1.37956,0.86537,1.31843,0.92571,0.87069,0.92901,0.61439,1.29782,0.71312,1.39118,0.00120268,0.00120268,0.00120268
62,2100.98,1.36418,0.90631,1.30514,0.98329,0.88793,0.95476,0.65003,1.19988,0.67027,1.33859,0.0011894,0.0011894,0.0011894
